,Player,avg_gi,avg_missed_points,TPR,Points,total_game_count,gi_median,missed_points_median,Elo,total_moves,White_games,Black_games,gi_std,missed_points_std,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,gi_var,missed_points_var
165,Ilan Schnaider,113.18,1.66,2289,4,13,121.7,1.47,2415,738,6,7,34.96,1.11,1.18,2.07,129.37,99.31,2,2,1222.25,1.23
166,Manuel Larrea,112.83,1.52,2073,2.5,12,120.95,1.24,2241,484,6,6,41.33,1.03,1.05,2,135.65,90.02,2.5,0,1707.87,1.07
167,Viktor Matviishen,112.58,1.82,2519,6.5,13,131.8,1.31,2423,699,7,6,52.76,1.71,1.82,1.83,107.94,118,3,3.5,2783.21,2.92
168,Varuzhan Akobian,111.98,1.77,2330,5,13,123.1,1.12,2496,607,7,6,42.23,1.36,1.62,1.95,111.29,112.8,1,4,1783.3,1.84
169,Emir Sharshenbekov,111.25,1.82,2382,6,13,133.3,1.29,2205,617,7,6,47.14,1.49,2.31,1.24,99.9,124.5,4,2,2222.5,2.21
170,Juraj Druska,110.07,1.83,2342,4.5,13,100.3,1.75,2425,718,7,6,36.31,1.25,2.41,1.15,90.84,132.5,2,2.5,1318.27,1.55
171,Gabriel Gaehwiler,110.02,1.65,2271,4.5,13,102.6,1.89,2480,667,7,6,38.05,1.08,1.85,1.42,101.59,119.85,2,2.5,1447.73,1.17
172,Sugar Gan-Erdene,109.68,1.85,2480,5.5,13,93.1,2.05,2320,683,7,6,40.89,1.3,2.23,1.41,103.33,117.08,3.5,2,1671.75,1.69
173,Levi Kalani Alexander Fogo Esquivel,109.61,1.63,2161,2.5,12,115.55,1.42,1976,602,6,6,37.19,1.09,2.04,1.22,97.47,121.75,1.5,1,1383.22,1.19
174,Leonid Yudasin,109.48,1.68,2160,4.5,13,127.1,1.68,2521,589,6,7,50.29,1.4,1.65,1.71,117.02,103.03,3,1.5,2528.68,1.95
175,Vidar Grahn,108.81,1.68,2103,3,13,110.1,1.49,2270,576,7,6,36.55,0.97,2.15,1.13,90.71,129.92,1,2,1336.25,0.94
176,Arystanbek Urazayev,107.92,2.13,2548,5.5,13,115.5,1.9,2447,723,7,6,48.25,1.49,2.4,1.82,98.07,119.42,2,3.5,2328.28,2.21
177,Michael Bezold,106.89,1.92,2359,6,13,125.9,1.51,2531,639,6,7,49.78,1.29,1.89,1.94,112.22,102.33,3,3,2478.22,1.65
178,Kai Jie Soo,105.73,1.9,2285,4.5,13,108.4,1.66,2111,634,6,7,50.87,1.53,2.18,1.65,93.62,116.11,2,2.5,2588,2.34
179,Harold Wanyama,103.45,1.78,2125,3.5,12,114.55,1.33,2175,519,6,6,53.78,1.55,2.6,0.96,76.82,130.08,2.5,1,2892.48,2.41
180,Robert Hungaski,103.42,2.12,2477,5.5,13,129.8,1.93,2432,622,6,7,57.9,1.82,2.05,2.18,106.38,100.87,2.5,3,3352.47,3.32
181,Ryan Blackwood,102.25,1.79,2067,3,13,103.9,1.77,1936,610,6,7,34.3,0.96,2.01,1.6,95.33,108.17,1.5,1.5,1176.48,0.92
182,Aziz Degenbaev,101.98,2.01,2376,5,13,108.8,1.82,2222,660,6,7,62.12,1.64,1.68,2.29,115.93,90.01,2,3,3858.49,2.69
183,Kevin George,101.12,1.96,2189,4,13,96.1,1.98,2285,699,7,6,38.73,0.92,1.73,2.22,109.03,91.88,2.5,1.5,1499.63,0.84
184,Ramazan Zhalmakhanov,100.88,2.15,2366,4.5,13,95.8,2.29,2479,729,6,7,42.53,0.99,2.24,2.07,104.55,97.73,3.5,1,1808.96,0.99
185,Aleksandr Rakhmanov,99.66,2.21,2464,6,13,118.3,1.79,2577,745,6,7,59.33,1.65,2.15,2.26,107.58,92.87,2.5,3.5,3519.57,2.74
186,Ehsan Ghaem Maghami,98.85,2.01,2359,6,13,107,1.54,2559,696,7,6,66.68,2.03,1.88,2.17,103.91,92.93,3.5,2.5,4446.37,4.13
187,Andre Meylan,97.51,1.96,2048,2,12,117.05,1.48,2195,515,5,7,48.04,1.36,1.75,2.12,99.94,95.77,0,2,2307.47,1.84
188,Hayoung Wong,95.78,1.85,1877,1.5,12,104.35,1.56,1704,513,6,6,36.97,1.22,2,1.7,86.15,105.4,0,1.5,1367.05,1.49
